model,dataset,task,subgroup,group,n_train_total,n_test,timestamp,hyperparameters,cv_n_runs,source_dir,has_diagnostics,accuracy,accuracy_cv_std,balanced_accuracy,balanced_accuracy_cv_std,precision,precision_cv_std,recall,recall_cv_std,f1,f1_cv_std,f2,f2_cv_std,roc_auc,roc_auc_cv_std,mcc,mcc_cv_std,mae,qwk,exact_match_rate,within_1_rate,mean_signed_error,underestimate_rate,overestimate_rate,clinical_risk_score,mcc_scaled,primary_rank,robust_score,robust_rank,robust_metrics_used
svm,linear,binary,female,binary / female,155,39,2026-07-19T09:11:25.638801+00:00,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""linear""}",25,results\svm__linear__binary__female,False,0.7692307692307693,0.047409478892577635,0.7137931034482758,0.07064381221422575,0.5454545454545454,0.09490476514980631,0.6,0.1414213562373095,0.5714285714285714,0.09325212512213073,0.5882352941176471,0.11716112198720494,0.8241379310344827,0.051446927890924546,0.41490371929283465,0.12236463879828939,,,,,,,,,0.7074518596464173,4.5,0.7596941801584501,3.5,"balanced_accuracy, mcc, f1"
xgboost,tree,binary,female,binary / female,155,39,2026-07-19T09:20:49.747214+00:00,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 400, ""subsample"": 0.8}",25,results\xgboost__tree__binary__female,False,0.7435897435897436,0.04561979233461597,0.6310344827586207,0.07702066842633423,0.5,0.132652120352498,0.4,0.15524174696260024,0.4444444444444444,0.13562424824482044,0.4166666666666667,0.14894711852342263,0.7999999999999999,0.0757270993289643,0.2833927613306989,0.1445994520590518,,,,,,,,,0.6416963806653495,6.0,0.0,6.0,"balanced_accuracy, mcc, f1"
catboost,tree,binary,male,binary / male,581,145,2026-07-19T09:09:35.079531+00:00,"{""depth"": 4, ""iterations"": 400, ""l2_leaf_reg"": 5, ""learning_rate"": 0.01}",25,results\catboost__tree__binary__male,False,0.8068965517241379,0.025840305786742564,0.7718416735028713,0.032293041612347195,0.8137254901960784,0.03293162900512115,0.9021739130434783,0.03682478867168524,0.8556701030927835,0.01986039306050667,0.8829787234042553,0.027385078279295906,0.8605414273995078,0.02769313370794921,0.5732493429089245,0.058363546221341676,,,,,,,,,0.7866246714544622,1.0,0.6634699934888352,3.0,"balanced_accuracy, mcc, f1"
lightgbm,tree,binary,male,binary / male,581,145,2026-07-19T08:34:58.435428+00:00,"{""learning_rate"": 0.01, ""min_child_samples"": 20, ""n_estimators"": 400, ""num_leaves"": 15}",25,results\lightgbm__tree__binary__male,False,0.7724137931034483,0.03438214809460495,0.7406685808039377,0.04047071911064256,0.797979797979798,0.0353513162719086,0.8586956521739131,0.04142603711058066,0.8272251308900523,0.026282339201277042,0.8458244111349036,0.03297935288565131,0.8310090237899919,0.02810522939897457,0.4980635135894823,0.07731705505223509,,,,,,,,,0.7490317567947411,6.0,0.0,6.0,"balanced_accuracy, mcc, f1"
logistic,linear,binary,male,binary / male,581,145,2026-07-19T08:09:15.482787+00:00,"{""C"": 0.1, ""class_weight"": ""balanced"", ""l1_ratio"": 0.0, ""solver"": ""lbfgs""}",25,results\logistic__linear__binary__male,False,0.7931034482758621,0.027619589744785098,0.7809680065627563,0.02737094776560029,0.8444444444444444,0.02496979882456156,0.8260869565217391,0.04036922819920838,0.8351648351648352,0.024976291614833477,0.8296943231441049,0.03377681111775853,0.8593109105824446,0.028567565420945767,0.5577198666801083,0.05411919420561157,,,,,,,,,0.7788599333400541,2.0,0.492256803728149,4.0,"balanced_accuracy, mcc, f1"
random_forest,tree,binary,male,binary / male,581,145,2026-07-19T08:09:43.882134+00:00,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 2, ""n_estimators"": 200}",25,results\random_forest__tree__binary__male,False,0.8206896551724138,0.03099176365659013,0.7867104183757178,0.0354375559333939,0.8235294117647058,0.030756211857046425,0.9130434782608695,0.03371765545492197,0.865979381443299,0.023939779606858565,0.8936170212765957,0.027846703061487385,0.8568498769483183,0.02612612731559895,0.6046039844486432,0.06864125542858622,,,,,,,,,0.8023019922243215,4.0,0.9378019323671491,1.0,"balanced_accuracy, mcc, f1"
svm,linear,binary,male,binary / male,581,145,2026-07-19T08:12:00.530235+00:00,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",25,results\svm__linear__binary__male,False,0.8137931034482758,0.030308258118064597,0.7972723543888434,0.030163709874831968,0.8494623655913979,0.02545393665596385,0.8586956521739131,0.0414759376443717,0.8540540540540541,0.026789663921199983,0.8568329718004338,0.03509726705111665,0.8570549630844955,0.0297120602823835,0.596998473677882,0.060293300269071724,,,,,,,,,0.798499236838941,3.0,0.8736324167827109,2.0,"balanced_accuracy, mcc, f1"
xgboost,tree,binary,male,binary / male,581,145,2026-07-19T08:24:48.028459+00:00,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 400, ""subsample"": 0.8}",25,results\xgboost__tree__binary__male,False,0.7793103448275862,0.02732102707799012,0.7501025430680885,0.03191490952232515,0.8061224489795918,0.029116629716273892,0.8586956521739131,0.03745692483955546,0.8315789473684211,0.021562373267579198,0.8476394849785408,0.02910599718760404,0.8476210008203445,0.02806609084559674,0.5146571195807531,0.059821523905200014,,,,,,,,,0.7573285597903765,5.0,0.14492007289322936,5.0,"balanced_accuracy, mcc, f1"
catboost,tree,severity,all,severity / all,736,184,2026-07-17T19:28:27.313313+00:00,"{""depth"": 4, ""iterations"": 200, ""l2_leaf_reg"": 5, ""learning_rate"": 0.05}",25,results\catboost__tree__severity__all,True,0.5760869565217391,0.028736722189146115,0.3435372671336776,0.028670257992154148,0.3656665085388994,0.04536144499932358,0.3435372671336776,0.028670257992154148,0.3385748665748666,0.03371876939647049,0.3396553784904036,0.030381702422297315,0.8049273969135562,0.021690297421215296,0.36151539961797774,0.04194103422063,0.6630434782608695,0.443977296615514,0.5760869565217391,0.8097826086956522,-0.33695652173913043,0.30434782608695654,0.11956521739130435,1.7445652173913044,0.6807576998089888,2.0,0.777283284850895,2.0,"qwk, within_1_rate, clinical_risk_score"
lightgbm,tree,severity,all,severity / all,736,184,2026-07-17T19:28:26.145727+00:00,"{""learning_rate"": 0.01, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 31}",25,results\lightgbm__tree__severity__all,True,0.5380434782608695,0.034887117220764166,0.3399132450444001,0.038127942653914795,0.3370700679072229,0.08237070522675935,0.3399132450444001,0.038127942653914795,0.3345118538382371,0.04659057998236881,0.33705979404904135,0.0407116612763627,0.7821630542262143,0.0314100153131306,0.30786419537190607,0.05172719441293777,0.717391304347826,0.43770780363778594,0.5380434782608695,0.8043478260869565,-0.25,0.29347826086956524,0.16847826086956522,1.8396739130434783,0.6539320976859531,6.0,0.6240088934166214,3.0,"qwk, within_1_rate, clinical_risk_score"
logistic,linear,severity,all,severity / all,736,184,2026-07-17T19:28:22.751352+00:00,"{""C"": 0.01, ""class_weight"": null, ""l1_ratio"": 0.0, ""solver"": ""lbfgs""}",25,results\logistic__linear__severity__all,True,0.5597826086956522,0.02254946709340455,0.30252765420735966,0.01696695936027374,0.32103868574456806,0.08560021002375881,0.30252765420735966,0.01696695936027374,0.2756181599319721,0.020712381312094155,0.28903944892316985,0.01748278006617462,0.7971741263029444,0.022444583149812566,0.31758212844639827,0.03820391968856578,0.717391304347826,0.3245151888801704,0.5597826086956522,0.7880434782608695,-0.5217391304347826,0.358695652173913,0.08152173913043478,2.0652173913043477,0.6587910642231991,4.0,0.0,6.0,"qwk, within_1_rate, clinical_risk_score"
random_forest,tree,severity,all,severity / all,736,184,2026-07-17T19:28:24.207789+00:00,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 2, ""n_estimators"": 800}",25,results\random_forest__tree__severity__all,True,0.5652173913043478,0.020114994497928477,0.32145480731536874,0.018700050104061526,0.31280179982440737,0.05495321712628408,0.32145480731536874,0.018700050104061526,0.2988684964908234,0.025591762663349293,0.3110511190116587,0.02106019967386259,0.8056457878302059,0.02245241169720023,0.34099545660266345,0.032507472807666644,0.6902173913043478,0.37250786988457507,0.5652173913043478,0.8043478260869565,-0.41847826086956524,0.33695652173913043,0.09782608695652174,1.8967391304347827,0.6704977283013317,1.0,0.4244060760440407,5.0,"qwk, within_1_rate, clinical_risk_score"
svm,linear,severity,all,severity / all,736,184,2026-07-17T19:28:24.519890+00:00,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""scale"", ""kernel"": ""rbf""}",25,results\svm__linear__severity__all,True,0.5815217391304348,0.020277333246822092,0.357247618073665,0.023377231665466198,0.3790510564704113,0.05623245760438492,0.357247618073665,0.023377231665466198,0.3559159663865546,0.03331837687045819,0.3548227136216511,0.02699037650689326,0.8006696436518098,0.021754830937087494,0.36665097365510335,0.03085785726617287,0.6467391304347826,0.46978859771540804,0.5815217391304348,0.8206521739130435,-0.33152173913043476,0.30434782608695654,0.11413043478260869,1.684782608695652,0.6833254868275517,3.0,1.0,1.0,"qwk, within_1_rate, clinical_risk_score"
xgboost,tree,severity,all,severity / all,736,184,2026-07-17T19:28:25.401697+00:00,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 200, ""subsample"": 0.8}",25,results\xgboost__tree__severity__all,True,0.5543478260869565,0.024016329363222694,0.3386281126962213,0.021654868936536394,0.36839409893802444,0.05190703771682713,0.3386281126962213,0.021654868936536394,0.32659128790276337,0.029949480236666676,0.3316440176934786,0.024494516569294324,0.7956581666595488,0.02536918637709056,0.322609478562409,0.037570312633365875,0.6956521739130435,0.4076833031818665,0.5543478260869565,0.8043478260869565,-0.41304347826086957,0.33695652173913043,0.10869565217391304,1.8641304347826086,0.6613047392812045,5.0,0.533688382996031,4.0,"qwk, within_1_rate, clinical_risk_score"
