2026-07-15 17:12:37 | INFO    | pipeline.run_model | Grid search concluido: 494 runs novos, 856 pulados (ja existiam).
2026-07-15 17:12:40 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): depth=4,iterations=400,l2_leaf_reg=3,learning_rate=0.01
2026-07-15 17:12:40 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.7934782608695652, 'balanced_accuracy': 0.7838354854136776, 'precision': 0.7807017543859649, 'recall': 0.8725490196078431, 'f1': 0.8240740740740741, 'f2': 0.8524904214559387, 'roc_auc': 0.8882113821138211, 'mcc': 0.5811687482745117}
2026-07-15 17:12:40 | INFO    | pipeline.run_model | === run_model: model=lightgbm dataset=tree task=binary subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 17:12:40 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 17:12:48 | INFO    | pipeline.run_model | 1350 runs ja existentes (checkpoint).
2026-07-15 17:12:48 | INFO    | pipeline.run_model | Grid search concluido: 0 runs novos, 1350 pulados (ja existiam).
2026-07-15 17:12:48 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): learning_rate=0.01,min_child_samples=20,n_estimators=400,num_leaves=15
2026-07-15 17:12:48 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.7717391304347826, 'balanced_accuracy': 0.7666188426590148, 'precision': 0.7830188679245284, 'recall': 0.8137254901960784, 'f1': 0.7980769230769231, 'f2': 0.8073929961089494, 'roc_auc': 0.8607125777140124, 'mcc': 0.536324470496557}
2026-07-15 17:12:48 | INFO    | pipeline.run_model | === run_model: model=logistic dataset=linear task=binary subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 17:12:48 | INFO    | pipeline.run_model | 8 combinacoes de hiperparametros a avaliar.
2026-07-15 17:12:49 | INFO    | pipeline.run_model | 200 runs ja existentes (checkpoint).
2026-07-15 17:12:49 | INFO    | pipeline.run_model | Grid search concluido: 0 runs novos, 200 pulados (ja existiam).
2026-07-15 17:12:49 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): C=0.1,class_weight=balanced,l1_ratio=0.0,solver=lbfgs
2026-07-15 17:12:49 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.8260869565217391, 'balanced_accuracy': 0.8240076518412243, 'precision': 0.8431372549019608, 'recall': 0.8431372549019608, 'f1': 0.8431372549019608, 'f2': 0.8431372549019608, 'roc_auc': 0.8841463414634146, 'mcc': 0.6480153036824486}
2026-07-15 17:12:49 | INFO    | pipeline.run_model | === run_model: model=random_forest dataset=tree task=binary subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 17:12:49 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 17:12:57 | INFO    | pipeline.run_model | 1350 runs ja existentes (checkpoint).
2026-07-15 17:12:57 | INFO    | pipeline.run_model | Grid search concluido: 0 runs novos, 1350 pulados (ja existiam).
2026-07-15 17:12:58 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): class_weight=balanced,max_depth=5,min_samples_leaf=5,n_estimators=400
2026-07-15 17:12:58 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.8206521739130435, 'balanced_accuracy': 0.8179100908656145, 'precision': 0.8349514563106796, 'recall': 0.8431372549019608, 'f1': 0.8390243902439024, 'f2': 0.8414872798434442, 'roc_auc': 0.8827116212338594, 'mcc': 0.6366198840097675}
2026-07-15 17:12:58 | INFO    | pipeline.run_model | === run_model: model=random_forest dataset=tree task=binary subgroup=female n_splits=5 n_repeats=5 ===
2026-07-15 17:12:58 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 17:13:06 | INFO    | pipeline.run_model | 1350 runs ja existentes (checkpoint).
2026-07-15 17:13:06 | INFO    | pipeline.run_model | Grid search concluido: 0 runs novos, 1350 pulados (ja existiam).
2026-07-15 17:13:06 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): class_weight=None,max_depth=None,min_samples_leaf=5,n_estimators=200
2026-07-15 17:13:06 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.8205128205128205, 'balanced_accuracy': 0.7155172413793103, 'precision': 0.7142857142857143, 'recall': 0.5, 'f1': 0.5882352941176471, 'f2': 0.5319148936170213, 'roc_auc': 0.8482758620689655, 'mcc': 0.49044126607370664}
